Class	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm	Esr1 (Opal 480): Num Spots	Prg (Opal 520): Num Spots	Prlr (Opal 570): Num Spots	Oxt (Opal 620): Num Spots
Positive	7.6208	0.5746	6.1175	0	6	0	0
Positive	7.5489	6.2968	7.9998	1	8	1	0
Positive	7.6071	4.2136	3.2738	2	14	0	0
Positive	7.5305	6.9879	9.4474	22	11	1	8
Positive	7.5659	6.0016	6.2207	3	10	14	1
Positive	7.5609	2.9292	10.7263	0	9	0	0
Positive	7.6149	0.4075	7.0742	12	13	0	1
Positive	7.6403	2.3503	1.4248	3	10	0	0
Positive	7.6091	3.4212	4.0162	2	3	0	0
Positive	7.6307	3.5916	1.0751	3	24	0	1
Positive	7.6095	1.9391	5.8257	2	0	24	0
Positive	7.597	5.4461	2.9983	0	2	0	1
Positive	7.5518	4.7093	9.6314	1	6	0	0
Positive	7.6283	0.6552	5.0765	1	2	0	0
Positive	7.578	1.793	9.9957	0	3	0	0
Positive	7.5528	6.5693	7.1583	0	4	7	0
Positive	7.6158	0.6114	6.7027	1	7	1	1
Positive	7.5666	5.8197	6.3582	0	16	10	1
Positive	7.6116	5.5498	1.0153	5	5	0	1
Positive	7.6345	1.5076	3.2134	18	13	0	0
Positive	7.6354	0.9796	3.7667	8	12	1	0
Positive	7.6399	0.8261	3.3865	2	11	0	0
Positive	7.5247	6.8291	10.3784	18	16	34	9
Positive	7.5829	3.9189	6.6973	9	14	4	0
Positive	7.5467	6.0715	8.5549	12	0	0	2
Positive	7.5989	5.342	2.8877	2	8	0	0
Positive	7.5872	6.2855	3.1712	32	15	0	41
Positive	7.6441	1.2198	2.3644	4	4	1	3
Positive	7.5835	1.6787	9.4438	2	8	0	0
Positive	7.6373	2.312	1.8524	7	5	0	0
Positive	7.6318	1.148	4.0139	1	2	0	1
Positive	7.5779	2.5184	9.0919	0	10	1	0
Positive	7.6108	4.6446	2.2626	1	8	1	11
